esm_event_id;event_time;ingv_event_id;ev_latitude;ev_longitude;ev_depth_km;mw;station_code
EMSC-20160824_0000006;2016-08-24T01:36:32;7073641;42.6983;13.2335;8.1;6.0;AQK
EMSC-20160824_0000007;2016-08-24T01:56:01;7074171;42.61711;13.29049;1.65;4.3;AQK
EMSC-20160824_0000013;2016-08-24T02:33:29;7076161;42.79802;13.16114;6.326;5.5;AQK
EMSC-20160824_0000036;2016-08-24T03:40:11;7079501;42.63237;13.26442;8.021;4.1;AQK
EMSC-20160824_0000050;2016-08-24T04:06:52;7081331;42.78168;13.14185;1.842;4.4;AQK
EMSC-20160824_0000172;2016-08-24T11:50:31;7105011;42.82622;13.16594;8.917;4.5;AQK
EMSC-20160824_0000232;2016-08-24T17:46:10;7122651;42.66765;13.21176;8.985;4.2;AQK
EMSC-20160825_0000024;2016-08-25T03:17:17;7154631;42.75497;13.20164;5.779;4.3;AQK
EMSC-20160825_0000096;2016-08-25T12:36:06;7182461;42.60539;13.29141;8.145;4.4;AQK
EMSC-20160826_0000013;2016-08-26T04:28:26;7224451;42.61152;13.2953;9.054;4.8;AQK
EMSC-20160828_0000077;2016-08-28T15:55:36;7343701;42.82847;13.24205;2.925;4.3;AQK
EMSC-20160903_0000063;2016-09-03T10:18:51;7624821;42.86219;13.22359;0.646;4.3;AQK
EMSC-20161026_0000077;2016-10-26T17:10:37;8663031;42.88834;13.13969;3.421;5.5;AQK
EMSC-20161026_0000095;2016-10-26T19:18:06;8669321;42.91014;13.1406;2.122;5.9;AQK
EMSC-20161026_0000133;2016-10-26T21:42:02;8676191;42.87009;13.12724;5.28;4.5;AQK
EMSC-20161030_0000029;2016-10-30T06:40:18;8863681;42.83794;13.12324;6.169;6.6;AQK
EMSC-20161030_0000033;2016-10-30T07:13:06;8865281;42.70791;13.23236;5.749;;AQK
EMSC-20161030_0000037;2016-10-30T07:07:54;8864991;42.7282;13.20188;7.054;;AQK
EMSC-20161030_0000130;2016-10-30T11:58:18;8881771;42.84816;13.06011;8.814;4.0;AQK
EMSC-20161030_0000135;2016-10-30T12:07:01;8882341;42.84012;13.07929;6.839;4.5;AQK
EMSC-20161030_0000170;2016-10-30T13:34:55;8887571;42.80688;13.17157;4.938;4.1;AQK
EMSC-20161031_0000053;2016-10-31T03:27:41;8936321;42.76683;13.08911;6.825;4.1;AQK
EMSC-20161101_0000060;2016-11-01T07:56:40;9033461;42.9902;13.1345;8.3;4.8;AQK
EMSC-20161103_0000003;2016-11-03T00:35:02;9166761;43.03575;13.06353;6.743;4.7;AQK
EMSC-20161112_0000066;2016-11-12T14:43:34;9759131;42.72725;13.21215;3.718;4.1;AQK
EMSC-20170118_0000027;2017-01-18T09:25:41;12695491;42.56521;13.29803;8.657;5.1;AQK
EMSC-20170118_0000034;2017-01-18T10:14:10;12697591;42.55935;13.29105;9.307;5.5;AQK
EMSC-20170118_0000037;2017-01-18T10:25:24;12698071;42.53115;13.29272;8.63;5.4;AQK
EMSC-20170118_0000051;2017-01-18T10:16:40;12697681;42.55676;13.28189;9.013;;AQK
EMSC-20170118_0000119;2017-01-18T13:33:37;12707401;42.49355;13.2747;10.558;5.0;AQK
EMSC-20170118_0000154;2017-01-18T15:16:11;12712641;42.61452;13.29747;4.706;4.3;AQK
EMSC-20170118_0000199;2017-01-18T19:32:32;12723601;42.60063;13.23754;9.901;4.2;AQK
EMSC-20170220_0000016;2017-02-20T03:13:31;13708811;42.51017;13.25519;6.196;3.9;AQK
EMSC-20170905_0000022;2017-09-05T04:34:21;16959571;42.5435;13.3328;13.6;3.7;AQK
EMSC-20171203_0000085;2017-12-03T23:34:11;17769831;42.6242;13.3252;7.6;4.0;AQK
EMSC-20180331_0000004;2018-03-31T01:18:44;18562301;42.3528;13.4697;18.8;3.8;AQK
EMSC-20201221_0000006;2020-12-21T01:22:58;25821381;43.12;13.52;29.0;;AQK
INT-20210716_0000068;2021-07-16T08:00:50;27575091;42.79;13.07;11.0;3.3;AQK
INT-20220922_0000080;2022-09-22T10:24:50;32824731;42.79;13.61;24.0;3.9;AQK
INT-20221110_0000180;2022-11-10T18:45:39;33334041;43.18;13.51;21.0;;AQK
INT-20231122_0000242;2023-11-22T16:52:42;36939691;42.3237;13.3627;9.4;;AQK
INT-36868511;2023-11-14T16:17:50;36868511;42.9958;13.5373;20.4;3.9;AQK
INT-37167771;2023-12-16T20:16:49;37167771;42.9402;13.1238;9.9;;AQK
IT-1997-0004;1997-09-26T00:33:11;848119;43.023;12.892;5.7;5.7;AQK
IT-1997-0006;1997-09-26T09:40:24;849549;43.031;12.862;5.7;6.0;AQK
IT-1997-0137;1997-10-14T15:23:09;889969;42.929;12.93;6.0;5.6;AQK
IT-2007-0208;2007-10-21T03:55:36;1777979;42.401;12.963;8.0;4.2;AQK
IT-2009-0002;2009-03-30T13:38:38;1892309;42.321;13.376;9.8;4.4;AQK
IT-2009-0003;2009-03-30T13:43:26;1892329;42.315;13.378;9.7;3.5;AQK
IT-2009-0007;2009-04-05T20:48:54;1894909;42.325;13.382;9.5;4.2;AQK
IT-2009-0008;2009-04-05T22:39:41;1895159;42.329;13.385;10.0;3.5;AQK
IT-2009-0009;2009-04-06T01:32:40;1895389;42.342;13.38;8.3;6.1;AQK
IT-2009-0028;2009-04-06T02:27:46;1895799;42.366;13.319;8.3;;AQK
IT-2009-0032;2009-04-06T02:37:04;1895879;42.36;13.328;8.7;5.1;AQK
IT-2009-0047;2009-04-06T03:56:45;1896349;42.335;13.386;9.3;4.5;AQK
IT-2009-0051;2009-04-06T04:47:53;1896699;42.356;13.356;9.1;3.8;AQK
IT-2009-0067;2009-04-06T10:12:35;1898779;42.317;13.384;9.7;3.6;AQK
IT-2009-0068;2009-04-06T10:36:18;1898919;42.338;13.402;9.9;;AQK
IT-2009-0077;2009-04-06T16:38:09;1901099;42.363;13.339;10.0;4.3;AQK
IT-2009-0081;2009-04-06T21:56:53;1903209;42.384;13.342;10.0;3.7;AQK
IT-2009-0083;2009-04-06T22:47:14;1903619;42.326;13.303;10.2;3.6;AQK
IT-2009-0084;2009-04-06T23:15:36;1903809;42.463;13.385;9.7;5.1;AQK
IT-2009-0094;2009-04-07T09:24:56;1906349;42.343;13.391;9.5;;AQK
IT-2009-0095;2009-04-07T09:26:28;1906339;42.336;13.387;9.6;5.1;AQK
IT-2009-0097;2009-04-07T09:30:56;1906359;42.339;13.384;9.0;;AQK
IT-2009-0102;2009-04-07T17:47:37;1908319;42.303;13.486;17.1;5.5;AQK
IT-2009-0105;2009-04-07T21:34:29;1909629;42.372;13.374;7.2;4.5;AQK
IT-2009-0119;2009-04-08T22:56:50;1916229;42.497;13.367;10.8;4.1;AQK
IT-2009-0121;2009-04-09T00:52:59;1916789;42.489;13.351;11.0;5.4;AQK
IT-2009-0127;2009-04-09T03:14:52;1917479;42.337;13.451;14.6;4.4;AQK
IT-2009-0130;2009-04-09T04:32:45;1917839;42.457;13.441;7.7;4.3;AQK
IT-2009-0132;2009-04-09T04:43:09;1917909;42.508;13.378;7.6;3.7;AQK
IT-2009-0137;2009-04-09T13:19:33;1920169;42.341;13.259;9.7;3.8;AQK
IT-2009-0140;2009-04-09T19:38:16;1921649;42.504;13.35;9.3;5.2;AQK
IT-2009-0145;2009-04-09T22:40:06;1922489;42.488;13.316;9.8;3.6;AQK
IT-2009-0153;2009-04-10T15:46:18;1926039;42.355;13.391;7.6;3.2;AQK
IT-2009-0170;2009-04-13T13:36:05;1938799;42.445;13.455;9.1;3.6;AQK
IT-2009-0171;2009-04-13T19:09:49;1939639;42.351;13.346;9.6;3.7;AQK
IT-2009-0172;2009-04-13T19:17:57;1939659;42.352;13.341;9.7;3.4;AQK
IT-2009-0174;2009-04-13T21:14:24;1940059;42.498;13.377;9.0;5.0;AQK
IT-2009-0178;2009-04-14T17:27:30;1943349;42.528;13.313;7.8;3.6;AQK
IT-2009-0180;2009-04-14T20:17:27;1943879;42.543;13.31;8.9;4.0;AQK
IT-2009-0186;2009-04-15T22:53:07;1948769;42.515;13.33;9.8;3.8;AQK
IT-2009-0189;2009-04-16T17:49:30;1951619;42.545;13.299;8.9;3.7;AQK
IT-2009-0190;2009-04-18T09:05:56;1957099;42.446;13.359;11.1;3.8;AQK
IT-2009-0196;2009-04-21T15:44:36;1966529;42.324;13.371;10.0;3.5;AQK
IT-2009-0199;2009-04-23T15:14:08;1970519;42.247;13.484;10.3;3.9;AQK
IT-2009-0200;2009-04-23T21:49:00;1971139;42.228;13.486;9.7;4.3;AQK
IT-2009-0212;2009-04-30T13:01:02;1982979;42.365;13.369;8.3;3.5;AQK
IT-2009-0229;2009-05-01T05:12:51;1984189;42.287;13.462;9.6;3.6;AQK
IT-2009-0240;2009-05-09T09:09:40;1997639;42.356;13.371;8.8;;AQK
IT-2009-0242;2009-05-11T16:59:04;2001639;42.489;13.377;9.7;;AQK
IT-2009-0243;2009-05-14T06:30:22;2004959;42.483;13.397;9.5;3.4;AQK
IT-2009-0244;2009-05-14T06:32:33;2004969;42.488;13.405;9.1;;AQK
IT-2009-0245;2009-05-14T20:30:54;2005669;42.372;13.329;9.8;;AQK
IT-2009-0249;2009-05-30T02:55:10;2021969;42.35;13.339;11.0;3.6;AQK
IT-2009-0253;2009-06-07T19:21:34;2029709;42.338;13.476;10.7;3.3;AQK
IT-2009-0262;2009-06-22T20:58:40;2040909;42.454;13.354;10.8;4.7;AQK
IT-2009-0264;2009-06-23T00:41:56;2041429;42.452;13.364;10.5;3.7;AQK
IT-2009-0265;2009-06-23T08:35:08;2042029;42.466;13.352;11.0;;AQK
IT-2009-0277;2009-07-03T01:14:07;2054309;42.337;13.38;9.7;;AQK
IT-2009-0278;2009-07-03T09:43:53;2054799;42.323;13.375;10.3;3.3;AQK
IT-2009-0279;2009-07-03T11:03:07;2054869;42.397;13.39;4.3;3.7;AQK
IT-2009-0283;2009-07-12T08:38:51;2063869;42.328;13.379;10.1;4.3;AQK
IT-2009-0285;2009-07-12T22:14:24;2064569;42.338;13.392;11.1;3.7;AQK
IT-2009-0289;2009-07-31T11:05:39;2079659;42.263;13.5;6.1;3.9;AQK
IT-2009-0303;2009-09-24T16:14:57;2109129;42.46;13.351;12.7;3.9;AQK
IT-2009-0314;2009-10-20T05:07:30;2121979;42.391;13.245;10.1;3.5;AQK
IT-2010-0003;2010-01-10T08:33:35;2145419;43.119;13.445;16.9;;AQK
IT-2010-0009;2010-01-22T12:30:50;2149399;42.239;13.52;9.1;;AQK
IT-2010-0037;2010-08-31T07:12:52;2246059;42.516;13.226;10.4;3.5;AQK
IT-2012-0088;2012-10-30T01:52:31;1468901;42.3957;13.2725;10.6;3.2;AQK
IT-2013-0114;2013-12-08T14:35:33;2787731;42.4613;13.4793;16.2;3.7;AQK
IT-2016-0001;2016-10-16T09:32:36;8538851;42.75457;13.1797;2.218;4.0;AQK
EMSC-20080412_0000050;2008-04-12T05:44:42;1810659;41.784;12.584;14.1;3.9;AQU
EMSC-20090406_0000100;2009-04-06T07:17:10;1897629;42.356;13.383;9.0;4.1;AQU
EMSC-20090407_0000144;2009-04-07T21:39:06;1909659;42.356;13.36;9.9;3.6;AQU
EMSC-20090408_0000056;2009-04-08T03:00:34;1911519;42.293;13.462;9.3;3.6;AQU
EMSC-20090408_0000058;2009-04-08T04:27:41;1911959;42.29;13.462;9.0;3.8;AQU
EMSC-20150228_0000014;2015-02-28T03:16:18;5025051;41.9498;13.534;10.6;4.1;AQU
EMSC-20150529_0000093;2015-05-29T13:07:56;5527661;42.9652;14.3837;14.6;4.2;AQU
EMSC-20151206_0000013;2015-12-06T03:21:41;6286791;42.4087;15.2573;14.0;;AQU
EMSC-20151206_0000019;2015-12-06T03:22:49;6286861;42.4075;15.1968;10.0;4.2;AQU
EMSC-20151206_0000032;2015-12-06T05:28:15;6287201;42.3488;15.143;18.7;4.4;AQU
EMSC-20151206_0000082;2015-12-06T16:24:38;6288651;42.4007;15.2387;12.0;4.6;AQU
EMSC-20160116_0000069;2016-01-16T18:55:11;6376371;41.5272;14.5987;10.2;4.3;AQU
EMSC-20160530_0000085;2016-05-30T20:24:20;6765511;42.7003;11.9762;7.9;4.1;AQU
EMSC-20160824_0000006;2016-08-24T01:36:32;7073641;42.6983;13.2335;8.1;6.0;AQU
EMSC-20160824_0000007;2016-08-24T01:56:01;7074171;42.61711;13.29049;1.65;4.3;AQU
EMSC-20160824_0000010;2016-08-24T02:05:55;7074621;42.6162;13.2812;6.7;;AQU
EMSC-20160824_0000011;2016-08-24T02:07:30;7074701;42.6632;13.2957;6.4;;AQU
EMSC-20160824_0000013;2016-08-24T02:33:29;7076161;42.79802;13.16114;6.326;5.5;AQU
EMSC-20160824_0000020;2016-08-24T02:59:35;7077321;42.7987;13.1313;6.7;3.9;AQU
EMSC-20160824_0000024;2016-08-24T03:08:10;7077781;42.6237;13.2518;10.6;3.7;AQU
EMSC-20160824_0000036;2016-08-24T03:40:11;7079501;42.63237;13.26442;8.021;4.1;AQU
EMSC-20160824_0000050;2016-08-24T04:06:52;7081331;42.78168;13.14185;1.842;4.4;AQU
EMSC-20160824_0000172;2016-08-24T11:50:31;7105011;42.82622;13.16594;8.917;4.5;AQU
EMSC-20160824_0000192;2016-08-24T14:02:20;7112411;42.7997;13.2403;8.3;3.8;AQU
EMSC-20160824_0000232;2016-08-24T17:46:10;7122651;42.66765;13.21176;8.985;4.2;AQU
EMSC-20160824_0000295;2016-08-24T23:22:06;7141891;42.66057;13.21581;9.177;4.0;AQU
EMSC-20160825_0000024;2016-08-25T03:17:17;7154631;42.75497;13.20164;5.779;4.3;AQU
EMSC-20160825_0000096;2016-08-25T12:36:06;7182461;42.60539;13.29141;8.145;4.4;AQU
EMSC-20160826_0000013;2016-08-26T04:28:26;7224451;42.61152;13.2953;9.054;4.8;AQU
EMSC-20160915_0000064;2016-09-15T14:40:52;8034701;42.768;13.1335;9.2;3.7;AQU
EMSC-20160919_0000098;2016-09-19T23:34:26;8128111;42.68359;13.28497;3.537;3.7;AQU
EMSC-20161026_0000077;2016-10-26T17:10:37;8663031;42.88834;13.13969;3.421;5.5;AQU
EMSC-20161026_0000095;2016-10-26T19:18:06;8669321;42.91014;13.1406;2.122;5.9;AQU
EMSC-20161026_0000099;2016-10-26T19:43:44;8670551;42.89699;13.07768;5.974;;AQU
EMSC-20161026_0000129;2016-10-26T21:24:52;8675281;42.87452;13.0807;6.166;;AQU
EMSC-20161026_0000133;2016-10-26T21:42:02;8676191;42.87009;13.12724;5.28;4.5;AQU
EMSC-20161026_0000171;2016-10-26T23:52:31;8682271;42.84863;13.17052;1.873;3.6;AQU
EMSC-20161027_0000001;2016-10-27T00:21:30;8683561;43.00114;13.12298;2.054;;AQU
EMSC-20161027_0000008;2016-10-27T01:37:05;8687711;42.8442;13.1603;8.9;;AQU
EMSC-20161027_0000016;2016-10-27T03:19:28;8692821;42.84856;13.15283;4.337;4.0;AQU
EMSC-20161027_0000018;2016-10-27T03:50:25;8694191;42.98752;13.13237;2.054;4.1;AQU
EMSC-20161027_0000072;2016-10-27T08:21:46;8706291;42.87956;13.10563;4.655;4.3;AQU
EMSC-20161028_0000138;2016-10-28T20:02:43;8788671;39.2672;13.5468;481.4;5.8;AQU
EMSC-20161030_0000029;2016-10-30T06:40:18;8863681;42.83794;13.12324;6.169;6.6;AQU
EMSC-20161030_0000033;2016-10-30T07:13:06;8865281;42.70791;13.23236;5.749;;AQU
EMSC-20161030_0000037;2016-10-30T07:07:54;8864991;42.7282;13.20188;7.054;;AQU
EMSC-20161030_0000088;2016-10-30T10:19:27;8876081;42.81607;13.14578;6.897;3.7;AQU
EMSC-20161030_0000130;2016-10-30T11:58:18;8881771;42.84816;13.06011;8.814;4.0;AQU
EMSC-20161030_0000135;2016-10-30T12:07:01;8882341;42.84012;13.07929;6.839;4.5;AQU
EMSC-20161030_0000170;2016-10-30T13:34:55;8887571;42.80688;13.17157;4.938;4.1;AQU
EMSC-20161030_0000281;2016-10-30T18:21:09;8904671;42.78944;13.15912;0.276;4.0;AQU
EMSC-20161031_0000053;2016-10-31T03:27:41;8936321;42.76683;13.08911;6.825;4.1;AQU
EMSC-20161031_0000097;2016-10-31T07:05:45;8949131;42.84502;13.13164;4.856;4.0;AQU
EMSC-20161101_0000060;2016-11-01T07:56:40;9033461;42.9902;13.1345;8.3;4.8;AQU
EMSC-20161102_0000149;2016-11-02T19:37:49;9151161;42.8767;13.0605;8.2;3.7;AQU
EMSC-20161103_0000003;2016-11-03T00:35:02;9166761;43.03575;13.06353;6.743;4.7;AQU
